Adresse;Agent;Agent privilegie;Commentaires;Competence;Courriel;Creneau horaire de passage;Date d'echeance;Date de depart;Duree;Duree maximale de transport;Heure de passage prevu;Hub;Identifiant externe;Latitude;Longitude;Mobile;Nom;Partner;Plaque d'immatriculation;Poids;Référence de commande;Telephone;Type;Type d'intervention;Volume;rejection
Bd El Khalil/Hay Mly Abdellah n? 106 Casablanca;Abderhmane Hamse;;;;;10:00-19:00;;18/04/2022;5;;10:24;M2T;700342;33.5477;-7.59905;+212522507162;ALKHALIL;CASH PLUS;34599 - B - 7;1;DM220497837;+212522507162;;;0;date de depart non conforme
00 andalouss 02 rue 03 numero 51 polo Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;10:32;;;33.5539229;-7.6084;+212622876979;inwi, FAHIM RACHID;;34599 - B - 7;1;;+212622876979;;;0;Hub n'est pas egale a M2T
00 Bd Panoramique Casablanca 20000 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;10:37;;;33.5526134;-7.6077569;+212522477319;Action Goodies Commerciales, Ali chorfi;;34599 - B - 7;1;;+212522477319;;;0;Hub n'est pas egale a M2T
00 AIN CHOCK RUE 34 IMMEUBLE N°13 1er étage Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;10:48;;;33.5334065;-7.6106263;+212661770263;inwi, GUILLOUNI MOHAMED;;34599 - B - 7;1;;+212661770263;;;0;Hub n'est pas egale a M2T
720, Bd Al Qods, lotissement Omarya (juste à côté de la pâtisserie les quatre cerises) Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;10:53;;;33.53443500000001;-7.610948800000001;+212603407640;ASK SHOP, Askshop;;34599 - B - 7;1;;+212603407640;;;0;Hub n'est pas egale a M2T
00 AIN CHOCK AVENUE ALQODS CAFE FAGOUSTA - CASABLANCA Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;10:59;;;33.5317396;-7.616888199999999;+212623535502;inwi, Mourad nadir;;34599 - B - 7;1;;+212623535502;;;0;Hub n'est pas egale a M2T
00 LAMKANSSA 4 BLOC B RUE 22 NR 2 AIN CHOK CASA Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;11:05;;;33.5305071;-7.6151596;+212602371563;inwi, CHERKAOUI NEZHA;;34599 - B - 7;1;;+212602371563;;;0;Hub n'est pas egale a M2T
00 Tasnim Californie 2B etage 3 apt 8 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;11:12;;;33.5282271;-7.621078600000001;+212641665577;QITAB, NIHAL GRII;;34599 - B - 7;1;;+212641665577;;;0;Hub n'est pas egale a M2T
Lot El Baraka Quartier Californie, الدار البيضاء Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;11:17;;;33.5282271;-7.621078600000001;+212661311669;QITAB, leila smili;;34599 - B - 7;1;;+212661311669;;;0;Hub n'est pas egale a M2T
9 Boulevard Saadioune Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;11:24;;;33.5319362;-7.6279447;+212661911482;Moroccan Bazaar, Souheil Badaa;;34599 - B - 7;1;;+212661911482;;;0;Hub n'est pas egale a M2T
Sidi maarouf Florida LOT HOUSSNI NÂ°33 Casablanca 200190 200109 Casablanca Maroc Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;11:32;;;33.537906;-7.6439333;+212655395282;IRIS.MA, Mohamed Aloaui kadiri;;34599 - B - 7;1;;+212655395282;;;0;Hub n'est pas egale a M2T
00Siège inwi Lot lina n 328 Sidi Mâarouf Casablanca Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;11:37;;;33.5384946;-7.6417868;+212529078888;Action Goodies Commerciales, Fahd Bennani PDG;;34599 - B - 7;1;;+212529078888;;;0;Hub n'est pas egale a M2T
CBI Building, 29 Lotissement Attaoufik, Sidi Maarouf 20100 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;11:43;;;33.5412022;-7.6439512;+212600000000;CBI, CBI SIDI MAAROUF;;34599 - B - 7;1;;+212600000000;;;0;Hub n'est pas egale a M2T
M 2 IMM 1 MENARA NASSIM LISSASFA Casablanca;Abderhmane Hamse;;;;;10:00-19:00;;18/04/2022;5;;11:54;M2T;701250;33.5449538;-7.6755201;+212673816164;MENARA NASSIM;CASH PLUS;34599 - B - 7;1;DM220497837;+212673816164;;;0;date de depart non conforme
Hay nassim Imm 171 Num 10 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;12:05;;;33.5157241;-7.6697323;+212687655978;Moroccan Bazaar, فاطمة شافي;;34599 - B - 7;1;;+212687655978;;;0;Hub n'est pas egale a M2T
00 BOULEVRAD WLAD ZIANE RESIDENCE LES CHAMPS IMM O APPARTEMENT 13 3 EME ETAGE Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;12:14;;;33.523981;-7.658625799999999;+212637302182;inwi, SAADAOUI ABDERRAHMEN;;34599 - B - 7;1;;+212637302182;;;0;Hub n'est pas egale a M2T
sidi bernoussi katafa rue mouad ibnou jabal N 06 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;12:23;;;33.5261981;-7.64635;+212688997470;Moroccan Bazaar, Rajaa Moussaid;;34599 - B - 7;1;;+212688997470;;;0;Hub n'est pas egale a M2T
00 Immeuble les Quatre temps Sidi Maârouf La Coline II Casablanca 20000 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;12:29;;;33.5303986;-7.6444658;+212660211211;Action Goodies Commerciales, nawal gharmili sefrioui;;34599 - B - 7;1;;+212660211211;;;0;Hub n'est pas egale a M2T
ESPACE PERLA LA COLLINE N 22 SIDI MAAROUF Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;12:34;;;33.5303986;-7.6444658;+212522873747;M2T, M2t;;34599 - B - 7;1;;+212522873747;;;0;Hub n'est pas egale a M2T
Immeuble 88 gh 2 résidence el mostakbal sidi maaro Casablanca;Abderhmane Hamse;;;;;10:00-19:00;;18/04/2022;5;;12:41;M2T;701392;33.5293681;-7.6486953;+212522581676;CASA SIDI MAAROUF;CASH PLUS;34599 - B - 7;1;DM220497837;+212522581676;;;0;date de depart non conforme
Av Mostaid Casablanca tashilat Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;12:47;;;33.5326726;-7.6500318;+212663084008;M2T, ES9739Tasshilat Nouass;;34599 - B - 7;1;;+212663084008;;;0;Hub n'est pas egale a M2T
00 Société générale al mostakbal boulevard annakhil bloc F.R.P sidi Maarouf casablanca Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;12:53;;;33.5317944;-7.6480956;+212522977540;Action Goodies Commerciales, M. Kabli Adil;;34599 - B - 7;1;;+212522977540;;;0;Hub n'est pas egale a M2T
Résidence izdihar 5 bouskoura appartement 3 étage 4 Casablanca Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;12:59;;;33.5292514;-7.6489148;+212698128608;SUPERBRIKOL, Sanaa;;34599 - B - 7;1;;+212698128608;;;0;Hub n'est pas egale a M2T
323 LOT LINA SIDI MAAROUF Casablanca 20190 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;13:07;;;33.5194524;-7.6517475;+212522335305;Action Goodies Commerciales, Filali Baba;;34599 - B - 7;1;;+212522335305;;;0;Hub n'est pas egale a M2T
Lot Al Wouroud Nb 109 Sidi Maarouf Casablanca Casablanca;Abderhmane Hamse;;;;;10:00-19:00;;18/04/2022;5;;13:12;M2T;009406;33.518209;-7.6510096;+212640401482;Chaabi Cash Ouroud Plus;M2T;34599 - B - 7;1;DM220497837;+212640401482;;;0;date de depart non conforme
Casa sidi maârouf 00 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;13:20;;;33.5155613;-7.658315999999999;+212667076391;Moroccan Bazaar, Fouzia;;34599 - B - 7;1;;+212667076391;;;0;Hub n'est pas egale a M2T
Sidi maarouf Residence lmehdi imm 28 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;13:25;;;33.5155613;-7.658315999999999;+212705575666;Moroccan Bazaar, Ghizlane douaji;;34599 - B - 7;1;;+212705575666;;;0;Hub n'est pas egale a M2T
Rue abou bakr alkadri sidi maarouf 00 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;13:30;;;33.5155613;-7.658315999999999;+212621314109;Moroccan Bazaar, شروق زهري;;34599 - B - 7;1;;+212621314109;;;0;Hub n'est pas egale a M2T
Rue abo baker al qadiri sidi maarouf 00 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;13:35;;;33.5155613;-7.658315999999999;+212621314109;Moroccan Bazaar, Chorok zouhri;;34599 - B - 7;1;;+212621314109;;;0;Hub n'est pas egale a M2T
00 SIDI MAAROUF 5 LOT EL AHALI IMMEUBLE D 3ème étage APPARTEMENT N°182 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;13:40;;;33.5155613;-7.658315999999999;+212618024994;inwi, LATIF FATIMA;;34599 - B - 7;1;;+212618024994;;;0;Hub n'est pas egale a M2T
00 résidence amine num 159 rue 41 quartier amine sidi maarouf Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;13:47;;;33.5135247;-7.654899599999999;+212662823531;GREEN LAST MILE, jamila masloh;;34599 - B - 7;1;;+212662823531;;;0;Hub n'est pas egale a M2T
80, Numéro 20, Quartier Industriel Sidi Maarouf, Bd Abou Bakr El Kadiri Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;13:53;;;33.5127124;-7.6561255;+212674029634;Action Goodies Commerciales, Slm;;34599 - B - 7;1;;+212674029634;;;0;Hub n'est pas egale a M2T
rue abou baker kadiri hay pam Casablanca;Abderhmane Hamse;;;;;10:00-19:00;;18/04/2022;5;;13:59;M2T;701647;33.5094109;-7.6573255;+212687502149;first sidi maarouf;CASH PLUS;34599 - B - 7;1;DM220497837;+212687502149;;;0;date de depart non conforme
LOT ANNASR BLOC 24 N 64OULED SALEH Bouskoura;Abderhmane Hamse;;;;;14:00-19:00;;18/04/2022;5;;14:28;M2T;701745;33.411708;-7.677703;+212665827544;Ouled saleh;CASH PLUS;34599 - B - 7;1;DM220497837;+212665827544;;;0;date de depart non conforme
25 ZONE INDUSTRIELLE OULED SALEH ETAGE RC LOTISSEMENT FB 25 OULED SALAH Nouaceur;Abderhmane Hamse;;;;;14:00-19:00;;18/04/2022;5;;14:44;M2T;098937;33.4308513;-7.6398604;+212645290039;SAHATEL BOUSKOURA;BARID CASH;34599 - B - 7;1;DM220497837;+212645290039;;;0;date de depart non conforme
OPERATION ANNAKHIL ETAGE MG APPT 2 TR 9 NOUACEUR Nouaceur;Abderhmane Hamse;;;;;14:00-19:00;;18/04/2022;5;;15:24;M2T;702076;33.364503;-7.547112;+212661672197;CHAABI NOUACER;CASH PLUS;34599 - B - 7;1;DM220497837;+212661672197;;;0;date de depart non conforme
9H1 RDC LOTISSEMENT EL MASSIRA DEROUA Deroua;Abderhmane Hamse;;;;;10:00-13:00;;18/04/2022;5;;15:36;M2T;702261;33.40075;-7.53467;+212626469662;Lotissement massira;CASH PLUS;34599 - B - 7;1;DM220497837;+212626469662;;;0;date de depart non conforme
Boulevard Tah Casablanca;Abderhmane Hamse;;;;;10:00-19:00;;18/04/2022;5;;15:58;M2T;700461;33.5349977;-7.57814;+212522219085;Boulevard Tah;CASH PLUS;34599 - B - 7;1;DM220497837;+212522219085;;;0;date de depart non conforme
00 LAMKANSSA 4 BC B RUE 39 N 4 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;16:06;;;33.5281163;-7.5816073;+212690906414;inwi, MOHAMED TARMOUNIA;;34599 - B - 7;1;;+212690906414;;;0;Hub n'est pas egale a M2T
00 AIN CHOK HAY KARIM IMM 05 ETG 1 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;16:13;;;33.5338589;-7.5831493;+212641463796;inwi, BENJAA YASSINE;;34599 - B - 7;1;;+212641463796;;;0;Hub n'est pas egale a M2T
00 ANDALOUS 3 RUE 7 NR 20 BIN MEDOUN AIN CHOK Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;16:18;;;33.5338589;-7.5831493;+212625287014;inwi, MOUNASSIR OMAR;;34599 - B - 7;1;;+212625287014;;;0;Hub n'est pas egale a M2T
ain choke hay lala khadija rue 10 N 99 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;16:23;;;33.5338589;-7.5831493;+212608989861;Moroccan Bazaar, Narjis Nouamou;;34599 - B - 7;1;;+212608989861;;;0;Hub n'est pas egale a M2T
00 24 RUE 101 ETG 2 HAY MY ABDELLAH CASABLANCA Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;16:30;;;33.5403502;-7.5856011;+212637323656;inwi, FASSIR EL HOUSSINE;;34599 - B - 7;1;;+212637323656;;;0;Hub n'est pas egale a M2T
Quartier anomalie tajziat Anna rue 18 lotissement 282 Ain chock Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;16:35;;;33.541398;-7.5848966;+212663108680;BADDOU SAID, Asmae heddoun;;34599 - B - 7;1;;+212663108680;;;0;Hub n'est pas egale a M2T
00 JAMILA 4 RUE 90 N 32 SEBATA Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;16:43;;;33.54749;-7.57078;+212676143897;inwi, MABSOUT SALIMA;;34599 - B - 7;1;;+212676143897;;;0;Hub n'est pas egale a M2T
Derb khaled rue 20 karyat al jamaa Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;16:50;;;33.5538685;-7.5717317;+212629477694;Moroccan Bazaar, عبد الباري رضوان;;34599 - B - 7;1;;+212629477694;;;0;Hub n'est pas egale a M2T
N414 / 412 Avenue Reda Guedira Sebata Casablanca 00 Casablanca;Abderhmane Hamse;;;;;09:00-17:00;;18/04/2022;5;;16:56;;;33.5548632;-7.5750765;+212627585734;M2T, ES112Chaabi Cash Service Ennil;;34599 - B - 7;1;;+212627585734;;;0;Hub n'est pas egale a M2T
00 GHAZWA PROVINCE D'ESSAOUIRA Essaouira;BRAHIM  LABARAA;;;;;09:00-17:00;;18/04/2022;5;;09:02;;;31.5084926;-9.7595041;+212627560498;TOP MACHINERY ( BRICONET ), LAGNINE MEHDI;;WW892919;1;;+212627560498;;;0;Hub n'est pas egale a M2T
00 352 LOT AZLEF ESSAOUIRA Essaouira;BRAHIM  LABARAA;;;;;09:00-17:00;;18/04/2022;5;;09:07;;;31.5084926;-9.7595041;+212638946798;inwi, BYZOUKINE RAKIA;;WW892919;1;;+212638946798;;;0;Hub n'est pas egale a M2T
essouira 00 Essaouira;BRAHIM  LABARAA;;;;;09:00-17:00;;18/04/2022;5;;09:12;;;31.5084926;-9.7595041;+212622386679;SAID OUNIR, bourras mohamed;;WW892919;1;;+212622386679;;;0;Hub n'est pas egale a M2T
Centre Tafetacht 44102 Tafetachte Tafetachte;BRAHIM  LABARAA;;;;;10:00-19:00;;18/04/2022;5;;10:55;M2T;083455;31.5817064;-9.2533878;+212637286193;BC TAFTECHT;BARID CASH;WW892919;1;DM220497837;+212637286193;;;0;date de depart non conforme
BOULEVARD EL MASIRA KHADRA ROUTE PRINCIPAL Nø 1 LIANTE ENTRE ESSAOUIRA ET AGADIR Smimou;BRAHIM  LABARAA;;;;;10:00-19:00;;18/04/2022;5;;16:34;M2T;098868;31.206128;-9.703892;+212661765248;BC EC SMIMOU;BARID CASH;WW892919;1;DM220497837;+212661765248;;;0;date de depart non conforme
Magasin N24 Sis A Essaouira El Jadida Essaouira Essaouira;BRAHIM  LABARAA;;;;;10:00-19:00;;18/04/2022;5;;17:31;M2T;006510;31.449418;-9.732889;+212671018346;Chaabi Cash Ghazoua Cashe;M2T;WW892919;1;DM220497837;+212671018346;;;0;date de depart non conforme
mohamed el yazidi Essaouira;BRAHIM  LABARAA;;;;;10:00-19:00;;18/04/2022;5;;17:58;M2T;701075;31.499182;-9.75636;+212662294381;El Mostakbal Essaouira;CASH PLUS;WW892919;1;DM220497837;+212662294381;;;0;date de depart non conforme
N 5 Association Essaouira Darna Quartier Aflef Essaouira Essaouira;BRAHIM  LABARAA;;;;;10:00-19:00;;18/04/2022;5;;18:05;M2T;000565;31.504044;-9.756928;+212666423356;Chaabi Cash M2t - Essaouira;M2T;WW892919;1;DM220497837;+212666423356;;;0;date de depart non conforme
GARAGE N 1 LOT 17 RUE BAHNINI LOTISSEMENT TAMANAR Essaouira;BRAHIM  LABARAA;;;;;10:00-19:00;;18/04/2022;5;;18:13;M2T;701913;31.509629;-9.760175;+212666669113;AL AQABA;CASH PLUS;WW892919;1;DM220497837;+212666669113;;;0;date de depart non conforme
ÉCONOMIQUE N 92 AV ALAQABA ESSAOUIRA Essaouira;BRAHIM  LABARAA;;;;;10:00-19:00;;18/04/2022;5;;18:23;M2T;701920;31.521033;-9.755101;+212707030710;JRIFAT EL AQABA;CASH PLUS;WW892919;1;DM220497837;+212707030710;;;0;date de depart non conforme
n 55 bis BD mly idriss 1 ESSAOUIRA Essaouira;BRAHIM  LABARAA;;;;;10:00-19:00;;18/04/2022;5;;18:33;M2T;700989;31.515477;-9.761194;+212524476810;ESSAOUIRA;CASH PLUS;WW892919;1;DM220497837;+212524476810;;;0;date de depart non conforme
Angle Bd Lalla Aicha et Bd Moukawama 44002 ESSAOUIRA Essaouira;BRAHIM  LABARAA;;;;;10:00-19:00;;18/04/2022;5;;18:40;M2T;083961;31.5101521;-9.7666079;+212700087028;BC ESSAOUIRA PPAL;BARID CASH;WW892919;1;DM220497837;+212700087028;;;0;date de depart non conforme
3 PLACE AL ADALA Tétouan;Redouane BOUALI;;;;;10:00-19:00;;18/04/2022;5;;09:59;M2T;700157;35.5712456;-5.3764796;+212662187625;TETOUAN AVENIDA;CASH PLUS;34603 - B - 7;1;DM220497837;+212662187625;;;0;date de depart non conforme
00 TETOUANE AVENU KHALID BEN WALID N 1 ETAGE 1 Tétouan;Redouane BOUALI;;;;;09:00-17:00;;18/04/2022;5;;10:07;;;35.56993740000001;-5.371607;+212678801453;inwi, EL BESSAT ABDEILLAH;;34603 - B - 7;1;;+212678801453;;;0;Hub n'est pas egale a M2T
AV EL HAJEB 00 Tétouan;Redouane BOUALI;;;;;09:00-17:00;;18/04/2022;5;;10:19;;;35.5644553;-5.3647138;+212614878061;NUTRILIONZ, ILAYS AQBIB;;34603 - B - 7;1;;+212614878061;;;0;Hub n'est pas egale a M2T
Avenue Ceuta NÂ°1 Tranche 2 Mhanneche 2 Tetouan Tétouan;Redouane BOUALI;;;;;10:00-19:00;;18/04/2022;5;;10:26;M2T;002091;35.56597;-5.36075;+212613411213;Chaabi Cash Yasomar;M2T;34603 - B - 7;1;DM220497837;+212613411213;;;0;date de depart non conforme
AVENUE MOHAMMED EL KHARRAZ RUE CHAAHOU BENOUNA N Tétouan;Redouane BOUALI;;;;;10:00-19:00;;18/04/2022;5;;10:43;M2T;701184;35.58431;-5.35809;+212661508801;SEDRAOUIA;CASH PLUS;34603 - B - 7;1;DM220497837;+212661508801;;;0;date de depart non conforme
00 BOULEVARD ABDERRAHIME BOU ABID IMMEUBME N°357 3ème étage APPARTEMENT N°14 Tétouan;Redouane BOUALI;;;;;09:00-17:00;;18/04/2022;5;;10:53;;;35.5888995;-5.3625516;+212667626122;inwi, MARKOUSSE EL HASSAN;;34603 - B - 7;1;;+212667626122;;;0;Hub n'est pas egale a M2T
00 RUE OTMAN BNO AFAN N°83 PROVINCE DE TÉTOUAN Tétouan;Redouane BOUALI;;;;;09:00-17:00;;18/04/2022;5;;10:58;;;35.5888995;-5.3625516;+212677817103;TOP MACHINERY ( BRICONET ), RACHID RACHID;;34603 - B - 7;1;;+212677817103;;;0;Hub n'est pas egale a M2T
00 N° 48 RUE 11 BOULEVARD EL HIJERA - TETOUAN Tétouan;Redouane BOUALI;;;;;09:00-17:00;;18/04/2022;5;;11:03;;;35.5888995;-5.3625516;+212633166319;inwi, BEN ALLAL MOUAD;;34603 - B - 7;1;;+212633166319;;;0;Hub n'est pas egale a M2T
00 AV OUED SABOU RUE 03 NR 04 Tétouan;Redouane BOUALI;;;;;09:00-17:00;;18/04/2022;5;;11:10;;;35.5881547;-5.362531199999999;+212698926825;inwi, AZZOUZ mohammed reDA;;34603 - B - 7;1;;+212698926825;;;0;Hub n'est pas egale a M2T
Av Omar Ben Abdelaziz Rue 8 N 2 Tetouan Tetouan Tétouan;Redouane BOUALI;;;;;10:00-19:00;;18/04/2022;5;;11:34;M2T;002349;35.57799;-5.38233;+212667631765;Chaabi Cash Amziren Cash;M2T;34603 - B - 7;1;DM220497837;+212667631765;;;0;date de depart non conforme
Av Abdellah Chefchaouni N202 Tetouan Tetouan Tétouan;Redouane BOUALI;;;;;10:00-19:00;;18/04/2022;5;;11:48;M2T;002345;35.56853;-5.39318;+212670342061;Chaabi Cash Romana Services;M2T;34603 - B - 7;1;DM220497837;+212670342061;;;0;date de depart non conforme
QUARTIER ENASSIM Nø53 TETOUAN Tétouan;Redouane BOUALI;;;;;10:00-19:00;;18/04/2022;5;;12:03;M2T;098884;35.56804;-5.42193;+212615187101;SBS TETOUAN HAY NASSIM;BARID CASH;34603 - B - 7;1;DM220497837;+212615187101;;;0;date de depart non conforme
Secteur D N10 Hay Yaacoub El Mansour Rabat;Ali EL MOUSSALI ;;;;;10:00-19:00;;18/04/2022;5;;09:59;M2T;701353;33.9878;-6.87745;+212537797971;RABMANSOUR;CASH PLUS;57136 - A - 7;1;DM220497837;+212537797971;;;0;date de depart non conforme
Secteur C Nb2 Hay Sahrij Cym Hay Sahrij Yacoub El Mansour Rabat;Ali EL MOUSSALI ;;;;;09:00-17:00;;18/04/2022;5;;10:10;;;33.98338330000001;-6.8873077;+212605867127;CNSS, M2T_M2T_001368;;57136 - A - 7;1;;+212605867127;;;0;Hub n'est pas egale a M2T
Yaakoub elmansour lakwas n 1 rabat Rabat;Ali EL MOUSSALI ;;;;;09:00-17:00;;18/04/2022;5;;10:15;;;33.98338330000001;-6.8873077;+212670592101;TURKISH FASHION , Imane malaki;;57136 - A - 7;1;;+212670592101;;;0;Hub n'est pas egale a M2T
00 IMMEUBLE 139 GROUPE 22 APPART 18 DIYAR EL MANSOUR 2 QUARTIER YAACOUB EL MANSOUR Rabat;Ali EL MOUSSALI ;;;;;09:00-17:00;;18/04/2022;5;;10:26;;;33.9943723;-6.8804602;+212619660689;inwi, EDDOUIRI Said;;57136 - A - 7;1;;+212619660689;;;0;Hub n'est pas egale a M2T
Secteur B ouest 28 avenue Essalam Rabat;Ali EL MOUSSALI ;;;;;10:00-19:00;;18/04/2022;5;;10:37;M2T;700589;33.997381;-6.870562;+212661371029;Rabat Av Essalam CYM;CASH PLUS;57136 - A - 7;1;DM220497837;+212661371029;;;0;date de depart non conforme
00 AVENUE HAJ AHMED CHERKAOUI, QUARTIER ADMINISTRATIF Rabat;Ali EL MOUSSALI ;;;;;09:00-17:00;;18/04/2022;5;;10:55;;;33.9975292;-6.8589342;+212537279092;GREEN LAST MILE, Direction générale des impôts DIRECTION DU CONTROLE DIVISION DES INVESTIGATIONS;;57136 - A - 7;1;;+212537279092;;;0;Hub n'est pas egale a M2T
63 Av Ibn Sina Mag 2 Agdal Rabat Rabat Rabat;Ali EL MOUSSALI ;;;;;10:00-19:00;;18/04/2022;5;;11:05;M2T;001353;33.990898;-6.850408;+212661252562;Chaabi Cash Africa Fourniture;M2T;57136 - A - 7;1;DM220497837;+212661252562;;;0;date de depart non conforme
00 RUE MELOUIYA IMM 56 APPRT 3 ETG 1 AGDAL Rabat;Ali EL MOUSSALI ;;;;;09:00-17:00;;18/04/2022;5;;11:12;;;33.9933499;-6.848500899999999;+212634888188;inwi, HIBA MAKNANI;;57136 - A - 7;1;;+212634888188;;;0;Hub n'est pas egale a M2T
54 cité nahda 2 ext 3 pro rachad app 3 Rabat Rabat;Ali EL MOUSSALI ;;;;;09:00-17:00;;18/04/2022;5;;11:29;;;33.9715904;-6.8498129;+212617206800;2WLS, ismail hasab;;57136 - A - 7;1;;+212617206800;;;0;Hub n'est pas egale a M2T
Rabat;Ali EL MOUSSALI ;;;;;09:00-17:00;;18/04/2022;5;;11:34;;;33.9715904;-6.8498129;+212600000000;XOS, IAM - DIVISION ADMIN ET PAIE 4 EME ETAGE IM FEC HAY RIAD;;57136 - A - 7;1;;+212600000000;;;0;Hub n'est pas egale a M2T
centre ville 1 Rabat;Ali EL MOUSSALI ;;;;;09:00-17:00;;18/04/2022;5;;11:39;;;33.9715904;-6.8498129;+212672290273;TAMLIOUINE MOHAMED, hachlaf mimouna;;57136 - A - 7;1;;+212672290273;;;0;Hub n'est pas egale a M2T
5 avenue al melia souissi Rabat;Ali EL MOUSSALI ;;;;;09:00-17:00;;18/04/2022;5;;11:49;;;33.9657814;-6.858393;+212650347994;LIVREMOI, hakim chqaf;;57136 - A - 7;1;;+212650347994;;;0;Hub n'est pas egale a M2T
Av Mohammed VI KM 11,8. Rue Abdelkarim Raiss. Souissi Rabat;Ali EL MOUSSALI ;;;;;09:00-17:00;;18/04/2022;5;;11:56;;;33.9679017;-6.8601034;+212661202816;IXIR FACTORY, Mr Adil Ziani;;57136 - A - 7;1;;+212661202816;;;0;Hub n'est pas egale a M2T
Rue annakhil hay riad 10113 RABAT Rabat;Ali EL MOUSSALI ;;;;;10:00-19:00;;18/04/2022;5;;12:11;M2T;083711;33.954417;-6.864595;+21200614209;BC RABAT ANNAKHIL;BARID CASH;57136 - A - 7;1;DM220497837;+21200614209;;;0;date de depart non conforme
Immeuble al badira Appart 13 hay riad secteur 14 Rabat;Ali EL MOUSSALI ;;;;;09:00-17:00;;18/04/2022;5;;12:22;;;33.9487858;-6.876651799999999;+212661787515;Moroccan Bazaar, Najlae;;57136 - A - 7;1;;+212661787515;;;0;Hub n'est pas egale a M2T
N46 Bloc Dd Kouass Cym Rabat Rabat;Ali EL MOUSSALI ;;;;;10:00-19:00;;18/04/2022;5;;12:42;M2T;024014;33.978807;-6.876149;+212655644384;Chaabi Cash M2t- Kouass CYM;M2T;57136 - A - 7;1;DM220497837;+212655644384;;;0;date de depart non conforme
Bd Mohamed V Hotel Cafe Raiss Oujd Oujda Oujda;Hicham Lmbarki;;;;;10:00-19:00;;18/04/2022;5;;10:00;M2T;005135;34.685236;-1.913828;+212661608209;Chaabi Cash Hotel Raiss;M2T;10539-A-73;1;DM220497837;+212661608209;;;0;date de depart non conforme
BD MLY HASSAN ABDELGHANI ZIZI OUJDA Oujda;Hicham Lmbarki;;;;;10:00-19:00;;18/04/2022;5;;10:07;M2T;702021;34.681452;-1.909368;+212777042045;OUJLAMDINA;CASH PLUS;10539-A-73;1;DM220497837;+212777042045;;;0;date de depart non conforme
RUE SIDI DRISS, LOTISSEMENT LAALAJ, Nø 4 OUIJDA Oujda;Hicham Lmbarki;;;;;10:00-19:00;;18/04/2022;5;;10:14;M2T;098529;34.684371;-1.903053;+212646000120;GC OUJDA MLY DRISS;BARID CASH;10539-A-73;1;DM220497837;+212646000120;;;0;date de depart non conforme
Boulevard DHAR LAMHALLA LAZARETHAY WAFAE R 10 N192 Oujda;Hicham Lmbarki;;;;;10:00-19:00;;18/04/2022;5;;10:31;M2T;700302;34.684321;-1.881934;+212707078572;OUED DAHAB;CASH PLUS;10539-A-73;1;DM220497837;+212707078572;;;0;date de depart non conforme
